prediction_track_ranking,data_subset,accuracy_top10,accuracy_top1,unk_eng_in_top10,unk_eng_avg_rank,ranking_quantile,ranking_quintile,ranking_decile,ranking_vigintile
7,Unknown Engineered only,1,0.9217289719626168,1,1.0626148093032648,0.023411371237458192,1,1,1
7,Known labs only,0.9157694140066699,0.7537875178656503,0.9997141495950452,1.9310797465391882,0.023411371237458192,1,1,1
8,All labs,0.920711831556691,0.7873315126420579,0.946612633248172,2.768144794278949,0.026755852842809364,1,1,1
8,Unknown Engineered only,0.9988317757009346,0.7978971962616822,0.9988317757009346,1.2005669784607407,0.026755852842809364,1,1,1
8,Known labs only,0.9143401619818962,0.7864697474988089,0.9423535016674607,2.963329392405267,0.026755852842809364,1,1,1
9,All labs,0.9180688926085807,0.787948198396617,0.9530437846885736,3.0113557994638733,0.030100334448160536,1,1,1
9,Unknown Engineered only,0.9976635514018691,0.7149532710280374,0.9976635514018691,1.3702946953438755,0.030100334448160536,1,1,1
9,Known labs only,0.911576941400667,0.7939018580276322,0.949404478323011,3.211088416890242,0.030100334448160536,1,1,1
10,All labs,0.9158664434851554,0.7583472821777817,0.778521716148357,4.313965943004254,0.033444816053511704,1,1,1
10,Unknown Engineered only,0.9801401869158879,0.8633177570093458,0.9801401869158879,1.1952537043005544,0.033444816053511704,1,1,1
10,Known labs only,0.9106241067174845,0.7497856121962839,0.7620771796093377,4.790061481990997,0.033444816053511704,1,1,1
11,All labs,0.9157783455202185,0.7575544004933487,0.9744515901682671,2.1243064472958677,0.03678929765886288,1,1,1
11,Unknown Engineered only,0.9929906542056075,0.8352803738317757,0.9929906542056075,1.176200162601513,0.03678929765886288,1,1,1
11,Known labs only,0.9094807050976655,0.7512148642210577,0.9729394949976179,2.2292420672521436,0.03678929765886288,1,1,1
12,All labs,0.9133116025019822,0,0.9854638357853933,10.734856668741031,0.04013377926421405,1,1,1
12,Unknown Engineered only,1,0,1,10.000000000000002,0.04013377926421405,1,1,1
12,Known labs only,0.9062410671748452,0,0.9842782277274893,10.79712362201333,0.04013377926421405,1,1,1
13,All labs,0.9128711126772971,0.7554400493348604,0.9457316535988018,2.561496263398308,0.043478260869565216,1,1,1
13,Unknown Engineered only,1,0.822429906542056,1,1.1721669628129494,0.043478260869565216,1,1,1
13,Known labs only,0.9057646498332539,0.7499761791329205,0.9413053835159599,2.730137954609445,0.043478260869565216,1,1,1
14,All labs,0.9127830147123601,0,0.9971808651220156,10.138474334507155,0.046822742474916385,1,1,1
14,Unknown Engineered only,0.9988317757009346,0,0.9988317757009346,10.057151551780665,0.046822742474916385,1,1,1
14,Known labs only,0.9057646498332539,0,0.9970462124821343,10.145136168862948,0.046822742474916385,1,1,1
15,All labs,0.912166328957801,0.7643379437934984,0.8986873403224386,3.9668786948989196,0.05016722408026756,1,1,2
15,Unknown Engineered only,1,0.8317757009345794,1,1.1519381589671376,0.05016722408026756,1,1,2
15,Known labs only,0.9050023820867079,0.7588375416865174,0.8904240114340162,4.387828795558312,0.05016722408026756,1,1,2
16,All labs,0.911725839133116,0.7754382873755616,0.9925997709452912,2.3045899479596046,0.05351170568561873,1,1,2
16,Unknown Engineered only,1,0.8037383177570093,1,1.1987523133157636,0.05351170568561873,1,1,2
16,Known labs only,0.9045259647451167,0.7731300619342544,0.9919961886612673,2.4307840598741253,0.05351170568561873,1,1,2
17,All labs,0.9106686635538719,0.7500660734737028,0.9955070037882124,2.19340359605464,0.056856187290969896,1,1,2
17,Unknown Engineered only,1,0.8154205607476636,1,1.1743014287197175,0.056856187290969896,1,1,2
17,Known labs only,0.9033825631252977,0.7447355883754169,0.9951405431157694,2.30807371753139,0.056856187290969896,1,1,2
18,All labs,0.9086424103603207,0.7455730772619152,0.9770064311514404,2.6323475551592774,0.06020066889632107,1,1,2
18,Unknown Engineered only,1,0.780373831775701,1,1.20538467179354,0.06020066889632107,1,1,2
18,Known labs only,0.901191043353978,0.7427346355407337,0.9751310147689376,2.8055028410220766,0.06020066889632107,1,1,2
19,All labs,0.9078495286758876,0.7504184653334508,0.9614130913575897,2.875550755711878,0.06354515050167224,1,1,2
19,Unknown Engineered only,0.9988317757009346,0.6705607476635514,0.9988317757009346,1.3757095378367517,0.06354515050167224,1,1,2
19,Known labs only,0.9004287756074321,0.7569318723201525,0.9583611243449262,3.0537742732766064,0.06354515050167224,1,1,2
20,All labs,0.9067042551317065,0.7504184653334508,0.9928640648401021,2.0561076145654087,0.06688963210702341,1,1,2
20,Unknown Engineered only,1,0.8738317757009346,1,1.1182270519372983,0.06688963210702341,1,1,2
20,Known labs only,0.8990948070509767,0.7403525488327776,0.992282039066222,2.160829272724075,0.06688963210702341,1,1,2
21,All labs,0.9051184917628403,0.7206413531847414,0.9978856488415118,1.898962599731328,0.07023411371237458,1,1,2
21,Unknown Engineered only,0.9988317757009346,0.8913551401869159,0.9988317757009346,1.1000596382589392,0.07023411371237458,1,1,2
21,Known labs only,0.8974749880895665,0.7067174845164363,0.9978084802286803,1.9854316015775348,0.07023411371237458,1,1,2
22,All labs,0.903092238569289,0.7510351510880099,0.9252929257334156,2.8684860583474885,0.07357859531772576,1,1,2
22,Unknown Engineered only,0.9894859813084113,0.7932242990654206,0.9894859813084113,1.266724560616767,0.07357859531772576,1,1,2
22,Known labs only,0.8960457360647928,0.7475940924249642,0.920057170080991,3.0662324956547935,0.07357859531772576,1,1,2
23,All labs,0.90247555281473,0.7498898775438287,0.9650251079200071,2.515671834434212,0.07692307692307693,1,1,2
23,Unknown Engineered only,0.9906542056074766,0.7873831775700935,0.9906542056074766,1.2553783178972096,0.07692307692307693,1,1,2
