source,accuracy_top_n,n
"BLAST (Alley et al., original)",0.8517311250110122,245
BLAST (new),0.9327812527530615,245
GEAC (1st place),0.9882829706633777,245
GEAC (2nd place),0.9875781869438816,245
GEAC (3rd place),0.9344551140868645,245
GEAC (4th place),0.9901330279270549,245
GEAC Ensemble,0.9929521628050392,245
Nielsen & Voigt (2018),0.9214166152761871,245
Alley et al. (2020),0.9417672451766365,246
"BLAST (Alley et al., corrected)",0.9328693507179984,246
"BLAST (Alley et al., original)",0.8518192229759493,246
BLAST (new),0.9328693507179984,246
GEAC (1st place),0.9882829706633777,246
GEAC (2nd place),0.9876662849088186,246
GEAC (3rd place),0.9344551140868645,246
GEAC (4th place),0.9901330279270549,246
GEAC Ensemble,0.9929521628050392,246
Nielsen & Voigt (2018),0.9219452030658092,246
Alley et al. (2020),0.9418553431415734,247
"BLAST (Alley et al., corrected)",0.9329574486829354,247
"BLAST (Alley et al., original)",0.8520835168707603,247
BLAST (new),0.9329574486829354,247
GEAC (1st place),0.9882829706633777,247
GEAC (2nd place),0.9877543828737556,247
GEAC (3rd place),0.9344551140868645,247
GEAC (4th place),0.9902211258919918,247
GEAC Ensemble,0.9931283587349132,247
Nielsen & Voigt (2018),0.9219452030658092,247
Alley et al. (2020),0.9420315390714474,248
"BLAST (Alley et al., corrected)",0.9330455466478724,248
"BLAST (Alley et al., original)",0.8523478107655713,248
BLAST (new),0.9330455466478724,248
GEAC (1st place),0.9882829706633777,248
GEAC (2nd place),0.9878424808386926,248
GEAC (3rd place),0.9344551140868645,248
GEAC (4th place),0.9902211258919918,248
GEAC Ensemble,0.9933926526297242,248
Nielsen & Voigt (2018),0.9221213989956832,248
Alley et al. (2020),0.9422077350013215,249
"BLAST (Alley et al., corrected)",0.9330455466478724,249
"BLAST (Alley et al., original)",0.8524359087305083,249
BLAST (new),0.9330455466478724,249
GEAC (1st place),0.9882829706633777,249
GEAC (2nd place),0.9880186767685667,249
GEAC (3rd place),0.9344551140868645,249
GEAC (4th place),0.9903092238569289,249
GEAC Ensemble,0.9934807505946612,249
Nielsen & Voigt (2018),0.9222975949255572,249
Alley et al. (2020),0.9425601268610695,250
"BLAST (Alley et al., corrected)",0.9331336446128095,250
"BLAST (Alley et al., original)",0.8525240066954454,250
BLAST (new),0.9331336446128095,250
GEAC (1st place),0.9884591665932517,250
GEAC (2nd place),0.9880186767685667,250
GEAC (3rd place),0.9344551140868645,250
GEAC (4th place),0.9903092238569289,250
GEAC Ensemble,0.9934807505946612,250
Nielsen & Voigt (2018),0.9228261827151792,250
Alley et al. (2020),0.9427363227909435,251
"BLAST (Alley et al., corrected)",0.9333098405426835,251
"BLAST (Alley et al., original)",0.8527002026253193,251
BLAST (new),0.9333098405426835,251
GEAC (1st place),0.9884591665932517,251
GEAC (2nd place),0.9881067747335036,251
GEAC (3rd place),0.9344551140868645,251
GEAC (4th place),0.9903092238569289,251
GEAC Ensemble,0.9934807505946612,251
Nielsen & Voigt (2018),0.9231785745749274,251
Alley et al. (2020),0.9430006166857545,252
"BLAST (Alley et al., corrected)",0.9333979385076204,252
"BLAST (Alley et al., original)",0.8527002026253193,252
BLAST (new),0.9333979385076204,252
GEAC (1st place),0.9885472645581888,252
GEAC (2nd place),0.9881067747335036,252
GEAC (3rd place),0.9344551140868645,252
GEAC (4th place),0.9903092238569289,252
GEAC Ensemble,0.9934807505946612,252
Nielsen & Voigt (2018),0.9235309664346754,252
Alley et al. (2020),0.9432649105805656,253
"BLAST (Alley et al., corrected)",0.9333979385076204,253
"BLAST (Alley et al., original)",0.8527883005902563,253
BLAST (new),0.9333979385076204,253
GEAC (1st place),0.9886353625231257,253
GEAC (2nd place),0.9881067747335036,253
GEAC (3rd place),0.9344551140868645,253
GEAC (4th place),0.9903092238569289,253
GEAC Ensemble,0.9935688485595983,253
Nielsen & Voigt (2018),0.9236190643996124,253
Alley et al. (2020),0.9433530085455026,254
"BLAST (Alley et al., corrected)",0.9334860364725575,254
"BLAST (Alley et al., original)",0.8531406924500045,254
BLAST (new),0.9334860364725575,254
GEAC (1st place),0.9886353625231257,254
GEAC (2nd place),0.9881067747335036,254
GEAC (3rd place),0.9344551140868645,254
GEAC (4th place),0.9903092238569289,254
GEAC Ensemble,0.9935688485595983,254
Nielsen & Voigt (2018),0.9239714562593604,254
Alley et al. (2020),0.9433530085455026,255
"BLAST (Alley et al., corrected)",0.9335741344374945,255
"BLAST (Alley et al., original)",0.8534930843097525,255
BLAST (new),0.9335741344374945,255
GEAC (1st place),0.9887234604880627,255
GEAC (2nd place),0.9881948726984406,255
GEAC (3rd place),0.9344551140868645,255
GEAC (4th place),0.9903092238569289,255
GEAC Ensemble,0.9935688485595983,255
Nielsen & Voigt (2018),0.9239714562593604,255
Alley et al. (2020),0.9434411065104397,256
"BLAST (Alley et al., corrected)",0.9335741344374945,256
"BLAST (Alley et al., original)",0.8536692802396265,256
BLAST (new),0.9335741344374945,256
GEAC (1st place),0.9887234604880627,256
GEAC (2nd place),0.9881948726984406,256
GEAC (3rd place),0.9344551140868645,256
GEAC (4th place),0.9903092238569289,256
GEAC Ensemble,0.9935688485595983,256
Nielsen & Voigt (2018),0.9240595542242974,256
Alley et al. (2020),0.9434411065104397,257
"BLAST (Alley et al., corrected)",0.9335741344374945,257
"BLAST (Alley et al., original)",0.8536692802396265,257
BLAST (new),0.9335741344374945,257
GEAC (1st place),0.9887234604880627,257
GEAC (2nd place),0.9882829706633777,257
GEAC (3rd place),0.9344551140868645,257
GEAC (4th place),0.9903092238569289,257
GEAC Ensemble,0.9937450444894723,257
Nielsen & Voigt (2018),0.9243238481191084,257
Alley et al. (2020),0.9436173024403136,258
"BLAST (Alley et al., corrected)",0.9335741344374945,258
"BLAST (Alley et al., original)",0.8537573782045634,258
BLAST (new),0.9335741344374945,258
GEAC (1st place),0.9888115584529997,258
GEAC (2nd place),0.9882829706633777,258
GEAC (3rd place),0.9344551140868645,258
GEAC (4th place),0.9903092238569289,258
GEAC Ensemble,0.9937450444894723,258
Nielsen & Voigt (2018),0.9246762399788565,258
Alley et al. (2020),0.9438815963351247,259
"BLAST (Alley et al., corrected)",0.9337503303673685,259
"BLAST (Alley et al., original)",0.8538454761695005,259
BLAST (new),0.9337503303673685,259
GEAC (1st place),0.9888115584529997,259
GEAC (2nd place),0.9883710686283147,259
GEAC (3rd place),0.9344551140868645,259
GEAC (4th place),0.9903092238569289,259
GEAC Ensemble,0.9937450444894723,259
Nielsen & Voigt (2018),0.9248524359087306,259
Alley et al. (2020),0.9440577922649986,260
"BLAST (Alley et al., corrected)",0.9337503303673685,260
"BLAST (Alley et al., original)",0.8539335741344375,260
BLAST (new),0.9337503303673685,260
GEAC (1st place),0.9888115584529997,260
GEAC (2nd place),0.9883710686283147,260
GEAC (3rd place),0.9344551140868645,260
GEAC (4th place),0.9903092238569289,260
GEAC Ensemble,0.9939212404193463,260
Nielsen & Voigt (2018),0.9252929257334156,260
Alley et al. (2020),0.9441458902299357,261
"BLAST (Alley et al., corrected)",0.9338384283323056,261
"BLAST (Alley et al., original)",0.8539335741344375,261
BLAST (new),0.9338384283323056,261
GEAC (1st place),0.9888115584529997,261
GEAC (2nd place),0.9883710686283147,261
GEAC (3rd place),0.9344551140868645,261
GEAC (4th place),0.9903973218218659,261
GEAC Ensemble,0.9939212404193463,261
Nielsen & Voigt (2018),0.9253810236983526,261
Alley et al. (2020),0.9442339881948727,262
"BLAST (Alley et al., corrected)",0.9340146242621795,262
"BLAST (Alley et al., original)",0.8539335741344375,262
BLAST (new),0.9340146242621795,262
GEAC (1st place),0.9888115584529997,262
GEAC (2nd place),0.9884591665932517,262
GEAC (3rd place),0.9344551140868645,262
GEAC (4th place),0.9904854197868029,262
GEAC Ensemble,0.9939212404193463,262
Nielsen & Voigt (2018),0.9255572196282266,262
Alley et al. (2020),0.9443220861598097,263
"BLAST (Alley et al., corrected)",0.9341027222271165,263
"BLAST (Alley et al., original)",0.8539335741344375,263
BLAST (new),0.9341027222271165,263
GEAC (1st place),0.9888115584529997,263
GEAC (2nd place),0.9884591665932517,263
GEAC (3rd place),0.9344551140868645,263
GEAC (4th place),0.99057351775174,263
GEAC Ensemble,0.9940974363492203,263
Nielsen & Voigt (2018),0.9257334155581006,263
Alley et al. (2020),0.9444982820896838,264
"BLAST (Alley et al., corrected)",0.9341027222271165,264
"BLAST (Alley et al., original)",0.8539335741344375,264
BLAST (new),0.9341027222271165,264
GEAC (1st place),0.9888115584529997,264
GEAC (2nd place),0.9884591665932517,264
GEAC (3rd place),0.9344551140868645,264
GEAC (4th place),0.99057351775174,264
GEAC Ensemble,0.9941855343141573,264
Nielsen & Voigt (2018),0.9264381992775967,264
Alley et al. (2020),0.9445863800546207,265
"BLAST (Alley et al., corrected)",0.9341027222271165,265
"BLAST (Alley et al., original)",0.8541097700643115,265
BLAST (new),0.9341027222271165,265
GEAC (1st place),0.9888996564179368,265
GEAC (2nd place),0.9884591665932517,265
GEAC (3rd place),0.9344551140868645,265
GEAC (4th place),0.9908378116465509,265
GEAC Ensemble,0.9942736322790944,265
Nielsen & Voigt (2018),0.9266143952074707,265
Alley et al. (2020),0.9446744780195577,266
"BLAST (Alley et al., corrected)",0.9341027222271165,266
"BLAST (Alley et al., original)",0.8541978680292486,266
BLAST (new),0.9341027222271165,266
GEAC (1st place),0.9888996564179368,266
GEAC (2nd place),0.9885472645581888,266
GEAC (3rd place),0.9344551140868645,266
GEAC (4th place),0.990925909611488,266
GEAC Ensemble,0.9942736322790944,266
Nielsen & Voigt (2018),0.9268786891022818,266
Alley et al. (2020),0.9447625759844948,267
"BLAST (Alley et al., corrected)",0.9341908201920536,267
"BLAST (Alley et al., original)",0.8541978680292486,267
BLAST (new),0.9341908201920536,267
GEAC (1st place),0.9888996564179368,267
GEAC (2nd place),0.9885472645581888,267
GEAC (3rd place),0.9344551140868645,267
GEAC (4th place),0.990925909611488,267
GEAC Ensemble,0.9942736322790944,267
Nielsen & Voigt (2018),0.9270548850321557,267
Alley et al. (2020),0.9449387719143688,268
"BLAST (Alley et al., corrected)",0.9341908201920536,268
"BLAST (Alley et al., original)",0.8543740639591225,268
BLAST (new),0.9341908201920536,268
GEAC (1st place),0.9888996564179368,268
GEAC (2nd place),0.9886353625231257,268
GEAC (3rd place),0.9344551140868645,268
GEAC (4th place),0.991102105541362,268
GEAC Ensemble,0.9943617302440314,268
Nielsen & Voigt (2018),0.9273191789269668,268
Alley et al. (2020),0.9450268698793058,269
"BLAST (Alley et al., corrected)",0.9342789181569906,269
"BLAST (Alley et al., original)",0.8543740639591225,269
BLAST (new),0.9342789181569906,269
GEAC (1st place),0.9888996564179368,269
GEAC (2nd place),0.9886353625231257,269
GEAC (3rd place),0.9344551140868645,269
GEAC (4th place),0.991102105541362,269
GEAC Ensemble,0.9943617302440314,269
Nielsen & Voigt (2018),0.9276715707867148,269
Alley et al. (2020),0.9453792617390538,270
"BLAST (Alley et al., corrected)",0.9342789181569906,270
"BLAST (Alley et al., original)",0.8543740639591225,270
BLAST (new),0.9342789181569906,270
GEAC (1st place),0.9889877543828738,270
GEAC (2nd place),0.9886353625231257,270
GEAC (3rd place),0.9344551140868645,270
GEAC (4th place),0.991190203506299,270
GEAC Ensemble,0.9943617302440314,270
Nielsen & Voigt (2018),0.9280239626464629,270
Alley et al. (2020),0.9454673597039909,271
"BLAST (Alley et al., corrected)",0.9342789181569906,271
"BLAST (Alley et al., original)",0.8544621619240595,271
BLAST (new),0.9342789181569906,271
GEAC (1st place),0.9890758523478108,271
GEAC (2nd place),0.9887234604880627,271
GEAC (3rd place),0.9344551140868645,271
GEAC (4th place),0.991190203506299,271
GEAC Ensemble,0.9943617302440314,271
Nielsen & Voigt (2018),0.9280239626464629,271
Alley et al. (2020),0.9455554576689279,272
"BLAST (Alley et al., corrected)",0.9342789181569906,272
"BLAST (Alley et al., original)",0.8545502598889966,272
BLAST (new),0.9342789181569906,272
GEAC (1st place),0.9892520482776848,272
GEAC (2nd place),0.9887234604880627,272
GEAC (3rd place),0.9344551140868645,272
GEAC (4th place),0.991278301471236,272
GEAC Ensemble,0.9944498282089683,272
Nielsen & Voigt (2018),0.9283763545062109,272
Alley et al. (2020),0.9458197515637389,273
"BLAST (Alley et al., corrected)",0.9342789181569906,273
"BLAST (Alley et al., original)",0.8548145537838076,273
BLAST (new),0.9342789181569906,273
GEAC (1st place),0.9893401462426218,273
GEAC (2nd place),0.9888115584529997,273
GEAC (3rd place),0.9344551140868645,273
GEAC (4th place),0.991278301471236,273
GEAC Ensemble,0.9944498282089683,273
Nielsen & Voigt (2018),0.928464452471148,273
Alley et al. (2020),0.9458197515637389,274
"BLAST (Alley et al., corrected)",0.9344551140868645,274
"BLAST (Alley et al., original)",0.8549907497136816,274
BLAST (new),0.9344551140868645,274
GEAC (1st place),0.9893401462426218,274
GEAC (2nd place),0.9888115584529997,274
GEAC (3rd place),0.9344551140868645,274
GEAC (4th place),0.991366399436173,274
GEAC Ensemble,0.9944498282089683,274
Nielsen & Voigt (2018),0.9287287463659589,274
Alley et al. (2020),0.9459078495286759,275
"BLAST (Alley et al., corrected)",0.9344551140868645,275
"BLAST (Alley et al., original)",0.8550788476786186,275
BLAST (new),0.9344551140868645,275
GEAC (1st place),0.9893401462426218,275
GEAC (2nd place),0.9888115584529997,275
GEAC (3rd place),0.9344551140868645,275
GEAC (4th place),0.991366399436173,275
GEAC Ensemble,0.9944498282089683,275
Nielsen & Voigt (2018),0.92899304026077,275
Alley et al. (2020),0.94608404545855,276
"BLAST (Alley et al., corrected)",0.9345432120518016,276
"BLAST (Alley et al., original)",0.8552550436084927,276
BLAST (new),0.9345432120518016,276
GEAC (1st place),0.9894282442075588,276
GEAC (2nd place),0.9888115584529997,276
GEAC (3rd place),0.9344551140868645,276
GEAC (4th place),0.991366399436173,276
GEAC Ensemble,0.9944498282089683,276
Nielsen & Voigt (2018),0.929433530085455,276
Alley et al. (2020),0.9462602413884239,277
"BLAST (Alley et al., corrected)",0.9345432120518016,277
"BLAST (Alley et al., original)",0.8553431415734296,277
BLAST (new),0.9345432120518016,277
GEAC (1st place),0.9894282442075588,277
GEAC (2nd place),0.9888115584529997,277
GEAC (3rd place),0.9344551140868645,277
GEAC (4th place),0.991366399436173,277
GEAC Ensemble,0.9944498282089683,277
Nielsen & Voigt (2018),0.929785921945203,277
Alley et al. (2020),0.946436437318298,278
"BLAST (Alley et al., corrected)",0.9345432120518016,278
"BLAST (Alley et al., original)",0.8555193375033037,278
BLAST (new),0.9345432120518016,278
GEAC (1st place),0.9895163421724958,278
GEAC (2nd place),0.9888115584529997,278
GEAC (3rd place),0.9344551140868645,278
GEAC (4th place),0.991366399436173,278
GEAC Ensemble,0.9944498282089683,278
Nielsen & Voigt (2018),0.9299621178750771,278
Alley et al. (2020),0.946436437318298,279
"BLAST (Alley et al., corrected)",0.9346313100167386,279
"BLAST (Alley et al., original)",0.8556955334331777,279
BLAST (new),0.9346313100167386,279
GEAC (1st place),0.9895163421724958,279
GEAC (2nd place),0.9888115584529997,279
GEAC (3rd place),0.9344551140868645,279
GEAC (4th place),0.99145449740111,279
GEAC Ensemble,0.9944498282089683,279
Nielsen & Voigt (2018),0.9300502158400141,279
Alley et al. (2020),0.946612633248172,280
"BLAST (Alley et al., corrected)",0.9347194079816756,280
"BLAST (Alley et al., original)",0.8557836313981148,280
BLAST (new),0.9347194079816756,280
GEAC (1st place),0.9896044401374329,280
GEAC (2nd place),0.9888115584529997,280
GEAC (3rd place),0.9344551140868645,280
GEAC (4th place),0.9916306933309841,280
GEAC Ensemble,0.9945379261739054,280
Nielsen & Voigt (2018),0.9304026076997621,280
Alley et al. (2020),0.946876927142983,281
"BLAST (Alley et al., corrected)",0.9347194079816756,281
"BLAST (Alley et al., original)",0.8558717293630517,281
BLAST (new),0.9347194079816756,281
GEAC (1st place),0.9896044401374329,281
GEAC (2nd place),0.9888996564179368,281
GEAC (3rd place),0.9344551140868645,281
GEAC (4th place),0.9917187912959211,281
GEAC Ensemble,0.9945379261739054,281
Nielsen & Voigt (2018),0.9307549995595101,281
Alley et al. (2020),0.94696502510792,282
"BLAST (Alley et al., corrected)",0.9348956039115497,282
"BLAST (Alley et al., original)",0.8559598273279887,282
BLAST (new),0.9348956039115497,282
GEAC (1st place),0.9896925381023698,282
GEAC (2nd place),0.9888996564179368,282
GEAC (3rd place),0.9344551140868645,282
GEAC (4th place),0.991806889260858,282
GEAC Ensemble,0.9945379261739054,282
Nielsen & Voigt (2018),0.9309311954893842,282
Alley et al. (2020),0.947053123072857,283
"BLAST (Alley et al., corrected)",0.9350717998414236,283
"BLAST (Alley et al., original)",0.8560479252929257,283
BLAST (new),0.9350717998414236,283
GEAC (1st place),0.9897806360673068,283
GEAC (2nd place),0.9888996564179368,283
GEAC (3rd place),0.9344551140868645,283
GEAC (4th place),0.991806889260858,283
GEAC Ensemble,0.9946260241388424,283
Nielsen & Voigt (2018),0.9311073914192582,283
Alley et al. (2020),0.947053123072857,284
"BLAST (Alley et al., corrected)",0.9350717998414236,284
"BLAST (Alley et al., original)",0.8561360232578628,284
BLAST (new),0.9350717998414236,284
GEAC (1st place),0.9897806360673068,284
GEAC (2nd place),0.9888996564179368,284
GEAC (3rd place),0.9344551140868645,284
GEAC (4th place),0.991894987225795,284
GEAC Ensemble,0.9947141221037794,284
Nielsen & Voigt (2018),0.9315478812439433,284
Alley et al. (2020),0.9471412210377941,285
"BLAST (Alley et al., corrected)",0.9351598978063607,285
"BLAST (Alley et al., original)",0.8562241212227998,285
BLAST (new),0.9351598978063607,285
GEAC (1st place),0.9897806360673068,285
GEAC (2nd place),0.9889877543828738,285
GEAC (3rd place),0.9344551140868645,285
GEAC (4th place),0.9919830851907321,285
GEAC Ensemble,0.9948022200687164,285
Nielsen & Voigt (2018),0.9317240771738173,285
Alley et al. (2020),0.947317416967668,286
"BLAST (Alley et al., corrected)",0.9352479957712977,286
"BLAST (Alley et al., original)",0.8562241212227998,286
BLAST (new),0.9352479957712977,286
GEAC (1st place),0.9897806360673068,286
GEAC (2nd place),0.9889877543828738,286
GEAC (3rd place),0.9344551140868645,286
GEAC (4th place),0.9919830851907321,286
GEAC Ensemble,0.9949784159985904,286
Nielsen & Voigt (2018),0.9317240771738173,286
Alley et al. (2020),0.947317416967668,287
"BLAST (Alley et al., corrected)",0.9352479957712977,287
"BLAST (Alley et al., original)",0.8563122191877368,287
BLAST (new),0.9352479957712977,287
GEAC (1st place),0.9897806360673068,287
GEAC (2nd place),0.9889877543828738,287
GEAC (3rd place),0.9344551140868645,287
GEAC (4th place),0.9921592811206061,287
GEAC Ensemble,0.9950665139635274,287
Nielsen & Voigt (2018),0.9320764690335653,287
Alley et al. (2020),0.947405514932605,288
"BLAST (Alley et al., corrected)",0.9353360937362347,288
"BLAST (Alley et al., original)",0.8564003171526737,288
BLAST (new),0.9353360937362347,288
GEAC (1st place),0.9897806360673068,288
GEAC (2nd place),0.9889877543828738,288
GEAC (3rd place),0.9344551140868645,288
GEAC (4th place),0.9921592811206061,288
GEAC Ensemble,0.9950665139635274,288
Nielsen & Voigt (2018),0.9322526649634394,288
Alley et al. (2020),0.9474936128975421,289
"BLAST (Alley et al., corrected)",0.9354241917011717,289
"BLAST (Alley et al., original)",0.8565765130825478,289
BLAST (new),0.9354241917011717,289
GEAC (1st place),0.9897806360673068,289
GEAC (2nd place),0.9889877543828738,289
GEAC (3rd place),0.9344551140868645,289
GEAC (4th place),0.9921592811206061,289
GEAC Ensemble,0.9950665139635274,289
Nielsen & Voigt (2018),0.9323407629283763,289
Alley et al. (2020),0.9475817108624791,290
"BLAST (Alley et al., corrected)",0.9354241917011717,290
"BLAST (Alley et al., original)",0.8567527090124218,290
BLAST (new),0.9354241917011717,290
GEAC (1st place),0.9898687340322438,290
GEAC (2nd place),0.9889877543828738,290
GEAC (3rd place),0.9344551140868645,290
GEAC (4th place),0.9921592811206061,290
GEAC Ensemble,0.9951546119284644,290
Nielsen & Voigt (2018),0.9325169588582504,290
Alley et al. (2020),0.9476698088274161,291
"BLAST (Alley et al., corrected)",0.9354241917011717,291
"BLAST (Alley et al., original)",0.8569289049422958,291
BLAST (new),0.9354241917011717,291
GEAC (1st place),0.9898687340322438,291
GEAC (2nd place),0.9890758523478108,291
GEAC (3rd place),0.9344551140868645,291
GEAC (4th place),0.9921592811206061,291
GEAC Ensemble,0.9951546119284644,291
Nielsen & Voigt (2018),0.9326050568231874,291
Alley et al. (2020),0.9476698088274161,292
"BLAST (Alley et al., corrected)",0.9355122896661087,292
"BLAST (Alley et al., original)",0.8571051008721698,292
BLAST (new),0.9355122896661087,292
GEAC (1st place),0.9898687340322438,292
GEAC (2nd place),0.9891639503127477,292
GEAC (3rd place),0.9344551140868645,292
GEAC (4th place),0.9921592811206061,292
GEAC Ensemble,0.9952427098934015,292
Nielsen & Voigt (2018),0.9326931547881244,292
Alley et al. (2020),0.94775790679235306,293
"BLAST (Alley et al., corrected)",0.9356003876310457,293
"BLAST (Alley et al., original)",0.8571931988371069,293
BLAST (new),0.9356003876310457,293
GEAC (1st place),0.9899568319971809,293
GEAC (2nd place),0.9893401462426218,293
GEAC (3rd place),0.9344551140868645,293
GEAC (4th place),0.9921592811206061,293
GEAC Ensemble,0.9953308078583385,293
Nielsen & Voigt (2018),0.9329574486829354,293
Alley et al. (2020),0.9478460047572901,294
"BLAST (Alley et al., corrected)",0.9356884855959827,294
"BLAST (Alley et al., original)",0.8574574927319178,294
BLAST (new),0.9356884855959827,294
GEAC (1st place),0.9899568319971809,294
GEAC (2nd place),0.9893401462426218,294
GEAC (3rd place),0.9344551140868645,294
GEAC (4th place),0.9921592811206061,294
GEAC Ensemble,0.9953308078583385,294
Nielsen & Voigt (2018),0.9332217425777465,294
Alley et al. (2020),0.9479341027222271,295
"BLAST (Alley et al., corrected)",0.9356884855959827,295
"BLAST (Alley et al., original)",0.8576336886617919,295
BLAST (new),0.9356884855959827,295
GEAC (1st place),0.9899568319971809,295
GEAC (2nd place),0.9893401462426218,295
GEAC (3rd place),0.9344551140868645,295
GEAC (4th place),0.9922473790855432,295
GEAC Ensemble,0.9953308078583385,295
Nielsen & Voigt (2018),0.9333098405426835,295
Alley et al. (2020),0.9480222006871641,296
"BLAST (Alley et al., corrected)",0.9356884855959827,296
"BLAST (Alley et al., original)",0.8576336886617919,296
BLAST (new),0.9356884855959827,296
GEAC (1st place),0.9899568319971809,296
GEAC (2nd place),0.9893401462426218,296
GEAC (3rd place),0.9344551140868645,296
GEAC (4th place),0.9922473790855432,296
GEAC Ensemble,0.9955070037882124,296
Nielsen & Voigt (2018),0.9337503303673685,296
Alley et al. (2020),0.9481102986521012,297
"BLAST (Alley et al., corrected)",0.9356884855959827,297
"BLAST (Alley et al., original)",0.8577217866267289,297
BLAST (new),0.9356884855959827,297
GEAC (1st place),0.9899568319971809,297
GEAC (2nd place),0.9894282442075588,297
GEAC (3rd place),0.9344551140868645,297
GEAC (4th place),0.9923354770504801,297
GEAC Ensemble,0.9955951017531495,297
Nielsen & Voigt (2018),0.9341027222271165,297
Alley et al. (2020),0.9481983966170382,298
"BLAST (Alley et al., corrected)",0.9356884855959827,298
"BLAST (Alley et al., original)",0.8577217866267289,298
BLAST (new),0.9356884855959827,298
GEAC (1st place),0.9899568319971809,298
GEAC (2nd place),0.9894282442075588,298
GEAC (3rd place),0.9344551140868645,298
GEAC (4th place),0.9924235750154171,298
GEAC Ensemble,0.9955951017531495,298
Nielsen & Voigt (2018),0.9345432120518016,298
Alley et al. (2020),0.9481983966170382,299
"BLAST (Alley et al., corrected)",0.9356884855959827,299
"BLAST (Alley et al., original)",0.857809884591666,299
BLAST (new),0.9356884855959827,299
GEAC (1st place),0.9900449299621179,299
GEAC (2nd place),0.9894282442075588,299
GEAC (3rd place),0.9344551140868645,299
GEAC (4th place),0.9924235750154171,299
GEAC Ensemble,0.9955951017531495,299
Nielsen & Voigt (2018),0.9348075059466127,299
Alley et al. (2020),0.9484626905118492,300
"BLAST (Alley et al., corrected)",0.9357765835609198,300
"BLAST (Alley et al., original)",0.857897982556603,300
BLAST (new),0.9357765835609198,300
GEAC (1st place),0.9900449299621179,300
GEAC (2nd place),0.9894282442075588,300
GEAC (3rd place),0.9344551140868645,300
GEAC (4th place),0.9924235750154171,300
GEAC Ensemble,0.9955951017531495,300
Nielsen & Voigt (2018),0.9348956039115497,300
Alley et al. (2020),0.9485507884767862,301
"BLAST (Alley et al., corrected)",0.9358646815258568,301
"BLAST (Alley et al., original)",0.8580741784864769,301
BLAST (new),0.9358646815258568,301
GEAC (1st place),0.9900449299621179,301
GEAC (2nd place),0.9894282442075588,301
GEAC (3rd place),0.9344551140868645,301
GEAC (4th place),0.9925116729803541,301
GEAC Ensemble,0.9956831997180865,301
Nielsen & Voigt (2018),0.9352479957712977,301
Alley et al. (2020),0.9486388864417232,302
"BLAST (Alley et al., corrected)",0.9358646815258568,302
"BLAST (Alley et al., original)",0.858162276451414,302
BLAST (new),0.9358646815258568,302
GEAC (1st place),0.9900449299621179,302
GEAC (2nd place),0.9895163421724958,302
GEAC (3rd place),0.9344551140868645,302
GEAC (4th place),0.9925997709452912,302
GEAC Ensemble,0.9956831997180865,302
Nielsen & Voigt (2018),0.9354241917011717,302
Alley et al. (2020),0.9486388864417232,303
"BLAST (Alley et al., corrected)",0.9358646815258568,303
"BLAST (Alley et al., original)",0.858162276451414,303
BLAST (new),0.9358646815258568,303
GEAC (1st place),0.9900449299621179,303
GEAC (2nd place),0.9895163421724958,303
GEAC (3rd place),0.9344551140868645,303
GEAC (4th place),0.9925997709452912,303
GEAC Ensemble,0.9956831997180865,303
Nielsen & Voigt (2018),0.9356003876310457,303
Alley et al. (2020),0.9487269844066603,304
"BLAST (Alley et al., corrected)",0.9358646815258568,304
"BLAST (Alley et al., original)",0.858250374416351,304
BLAST (new),0.9358646815258568,304
GEAC (1st place),0.9900449299621179,304
GEAC (2nd place),0.9895163421724958,304
GEAC (3rd place),0.9344551140868645,304
GEAC (4th place),0.9925997709452912,304
GEAC Ensemble,0.9956831997180865,304
Nielsen & Voigt (2018),0.9357765835609198,304
Alley et al. (2020),0.9489031803365342,305
"BLAST (Alley et al., corrected)",0.9359527794907938,305
"BLAST (Alley et al., original)",0.858338472381288,305
BLAST (new),0.9359527794907938,305
GEAC (1st place),0.9900449299621179,305
GEAC (2nd place),0.9895163421724958,305
GEAC (3rd place),0.9344551140868645,305
GEAC (4th place),0.9926878689102282,305
GEAC Ensemble,0.9956831997180865,305
Nielsen & Voigt (2018),0.9361289754206678,305
Alley et al. (2020),0.9493436701612192,306
"BLAST (Alley et al., corrected)",0.9359527794907938,306
"BLAST (Alley et al., original)",0.858514668311162,306
BLAST (new),0.9359527794907938,306
GEAC (1st place),0.9900449299621179,306
GEAC (2nd place),0.9896044401374329,306
GEAC (3rd place),0.9344551140868645,306
GEAC (4th place),0.9927759668751652,306
GEAC Ensemble,0.9956831997180865,306
Nielsen & Voigt (2018),0.9361289754206678,306
Alley et al. (2020),0.9493436701612192,307
"BLAST (Alley et al., corrected)",0.9359527794907938,307
"BLAST (Alley et al., original)",0.858602766276099,307
BLAST (new),0.9359527794907938,307
GEAC (1st place),0.9901330279270549,307
GEAC (2nd place),0.9896044401374329,307
GEAC (3rd place),0.9344551140868645,307
GEAC (4th place),0.9927759668751652,307
GEAC Ensemble,0.9957712976830235,307
Nielsen & Voigt (2018),0.9362170733856048,307
Alley et al. (2020),0.9496079640560303,308
"BLAST (Alley et al., corrected)",0.9359527794907938,308
"BLAST (Alley et al., original)",0.8588670601709101,308
BLAST (new),0.9359527794907938,308
GEAC (1st place),0.9901330279270549,308
GEAC (2nd place),0.9896925381023698,308
GEAC (3rd place),0.9344551140868645,308
