source,accuracy_top_n,n
Nielsen & Voigt (2018),0.7655713153026165,16
Alley et al. (2020),0.8637124482424456,17
"BLAST (Alley et al., corrected)",0.8684697383490442,17
"BLAST (Alley et al., original)",0.7885648841511761,17
BLAST (new),0.8684697383490442,17
GEAC (1st place),0.9586820544445424,17
GEAC (2nd place),0.9537485684080698,17
GEAC (3rd place),0.9344551140868645,17
GEAC (4th place),0.9415910492467624,17
GEAC Ensemble,0.964848911990133,17
Nielsen & Voigt (2018),0.7686547440754119,17
Alley et al. (2020),0.8652982116113118,18
"BLAST (Alley et al., corrected)",0.8713769711919654,18
"BLAST (Alley et al., original)",0.7896220597304202,18
BLAST (new),0.8713769711919654,18
GEAC (1st place),0.9596511320588494,18
GEAC (2nd place),0.9544533521275659,18
GEAC (3rd place),0.9344551140868645,18
GEAC (4th place),0.9426482248260065,18
GEAC Ensemble,0.9660822834992512,18
Nielsen & Voigt (2018),0.7710333891287111,18
Alley et al. (2020),0.8664434851554929,19
"BLAST (Alley et al., corrected)",0.8726984406660206,19
"BLAST (Alley et al., original)",0.7907673332746014,19
BLAST (new),0.8726984406660206,19
GEAC (1st place),0.9606202096731565,19
GEAC (2nd place),0.9551581358470619,19
GEAC (3rd place),0.9344551140868645,19
GEAC (4th place),0.9440577922649986,19
GEAC Ensemble,0.9666108712888732,19
Nielsen & Voigt (2018),0.7743811117963175,19
Alley et al. (2020),0.8681173464892961,20
"BLAST (Alley et al., corrected)",0.8748127918245089,20
"BLAST (Alley et al., original)",0.7918245088538455,20
BLAST (new),0.8748127918245089,20
GEAC (1st place),0.9615892872874636,20
GEAC (2nd place),0.9560391154964321,20
GEAC (3rd place),0.9344551140868645,20
GEAC (4th place),0.9450268698793058,20
GEAC Ensemble,0.9674918509382433,20
Nielsen & Voigt (2018),0.7772883446392388,20
Alley et al. (2020),0.8689983261386662,21
"BLAST (Alley et al., corrected)",0.8771033389128711,21
"BLAST (Alley et al., original)",0.7924411946084046,21
BLAST (new),0.8771033389128711,21
GEAC (1st place),0.9622059730420227,21
GEAC (2nd place),0.9565677032860541,21
GEAC (3rd place),0.9344551140868645,21
GEAC (4th place),0.9462602413884239,21
GEAC Ensemble,0.9683728305876135,21
Nielsen & Voigt (2018),0.7796669896925381,21
Alley et al. (2020),0.8702316976477843,22
"BLAST (Alley et al., corrected)",0.8774557307726192,22
"BLAST (Alley et al., original)",0.7933221742577746,22
BLAST (new),0.8774557307726192,22
GEAC (1st place),0.9625583649017708,22
GEAC (2nd place),0.9570962910756762,22
GEAC (3rd place),0.9344551140868645,22
GEAC (4th place),0.9476698088274161,22
GEAC Ensemble,0.9689014183772355,22
Nielsen & Voigt (2018),0.7827504184653334,22
Alley et al. (2020),0.8713769711919654,23
"BLAST (Alley et al., corrected)",0.8779843185622412,23
"BLAST (Alley et al., original)",0.7938507620473967,23
BLAST (new),0.8779843185622412,23
GEAC (1st place),0.9632631486212668,23
GEAC (2nd place),0.9578891727601092,23
GEAC (3rd place),0.9344551140868645,23
GEAC (4th place),0.9481983966170382,23
GEAC Ensemble,0.9698704959915426,23
Nielsen & Voigt (2018),0.7850409655536957,23
Alley et al. (2020),0.8724341467712096,24
"BLAST (Alley et al., corrected)",0.8789533961765483,24
"BLAST (Alley et al., original)",0.7942031539071448,24
BLAST (new),0.8789533961765483,24
GEAC (1st place),0.9635274425160779,24
GEAC (2nd place),0.9591225442692274,24
GEAC (3rd place),0.9344551140868645,24
GEAC (4th place),0.9489031803365342,24
GEAC Ensemble,0.9702228878512906,24
Nielsen & Voigt (2018),0.7873315126420579,24
Alley et al. (2020),0.8741961060699498,25
"BLAST (Alley et al., corrected)",0.8805391595454145,25
"BLAST (Alley et al., original)",0.7954365254162629,25
BLAST (new),0.8805391595454145,25
GEAC (1st place),0.9638798343758259,25
GEAC (2nd place),0.9600035239185974,25
GEAC (3rd place),0.9344551140868645,25
GEAC (4th place),0.9501365518456524,25
GEAC Ensemble,0.9703109858162277,25
Nielsen & Voigt (2018),0.7894458638005462,25
Alley et al. (2020),0.875429477579068,26
"BLAST (Alley et al., corrected)",0.8813320412298475,26
"BLAST (Alley et al., original)",0.796053211170822,26
BLAST (new),0.8813320412298475,26
GEAC (1st place),0.964408422165448,26
GEAC (2nd place),0.9606202096731565,26
GEAC (3rd place),0.9344551140868645,26
GEAC (4th place),0.9509294335300854,26
GEAC Ensemble,0.9711919654655977,26
Nielsen & Voigt (2018),0.7919126068187825,26
Alley et al. (2020),0.8768390450180601,27
"BLAST (Alley et al., corrected)",0.8826535107039027,27
"BLAST (Alley et al., original)",0.796581798960444,27
BLAST (new),0.8826535107039027,27
GEAC (1st place),0.96493700995507,27
GEAC (2nd place),0.9611487974627786,27
GEAC (3rd place),0.9344551140868645,27
GEAC (4th place),0.9514580213197075,27
GEAC Ensemble,0.9718967491850938,27
Nielsen & Voigt (2018),0.7942031539071448,27
Alley et al. (2020),0.8780724165271783,28
"BLAST (Alley et al., corrected)",0.8842392740727689,28
"BLAST (Alley et al., original)",0.7967579948903181,28
BLAST (new),0.8842392740727689,28
GEAC (1st place),0.965289401814818,28
